% time	cellId	IMSI	RNTI	rsrp	sinr
0.0322143	1	1	1	4.22113e-11	88989.2
0.0312143	3	6	1	1.02661e-07	9.56154
0.0322143	2	2	1	0.00333333	7.02728e+12
0.0312143	4	7	1	5.58632e-08	4.86241
0.0332143	1	1	1	0.00333333	7.02728e+12
0.0682143	1	1	1	1.35925e-07	2.86556e+08
0.0462143	1	3	1	4.22698e-13	891.204
0.0332143	1	1	1	4.22113e-11	88989.2
0.0332143	2	2	1	0.00333333	7.02728e+12
0.0312143	4	8	2	3.62359e-08	1.65206
0.0342143	1	1	1	4.22113e-11	88989.2
0.0342143	1	1	1	0.00333333	7.02728e+12
0.0592143	1	1	1	0.00333333	7.02728e+12
0.0352143	1	1	1	4.22113e-11	88989.2
0.0342143	2	2	1	0.00333333	7.02728e+12
0.0312143	5	9	2	4.65211e-08	3.1381
0.0352143	1	1	1	0.00333333	7.02728e+12
0.0352143	2	2	1	0.00333333	7.02728e+12
0.0692143	1	1	1	1.35925e-07	2.86556e+08
0.0362143	1	1	1	0.00333333	7.02728e+12
0.0362143	2	2	1	0.00333333	7.02728e+12
0.0602143	1	1	1	0.00333333	7.02728e+12
0.0472143	1	1	2	4.22698e-13	891.204
0.0372143	1	1	1	0.00333333	7.02728e+12
0.0372143	2	2	1	0.00333333	7.02728e+12
0.0382143	1	1	1	0.00333333	7.02728e+12
0.0382143	2	2	1	0.00333333	7.02728e+12
0.0392143	1	1	1	0.00333333	7.02728e+12
0.0392143	2	2	1	0.00333333	7.02728e+12
0.0402143	1	1	1	0.00333333	7.02728e+12
0.0402143	2	2	1	0.00333333	7.02728e+12
0.0292143	1	1	1	0.000616772	697200
0.0412143	1	1	1	0.00333333	7.02728e+12
0.0412143	2	2	1	0.00333333	7.02728e+12
0.0422143	1	1	1	0.00333333	7.02728e+12
0.0422143	2	2	1	0.00333333	7.02728e+12
0.0432143	1	1	1	0.00333333	7.02728e+12
0.0432143	2	2	1	0.00333333	7.02728e+12
0.0442143	1	1	1	0.00333333	7.02728e+12
0.0442143	2	2	1	0.00333333	7.02728e+12
0.0452143	1	1	1	0.00333333	7.02728e+12
0.0452143	2	2	1	0.00333333	7.02728e+12
0.0462143	1	1	1	0.00333333	7.02728e+12
0.0462143	2	2	1	0.00333333	7.02728e+12
0.0472143	1	1	1	0.00333333	7.02728e+12
0.0472143	2	2	1	0.00333333	7.02728e+12
0.0482143	1	1	1	0.00333333	7.02728e+12
0.0482143	2	2	1	0.00333333	7.02728e+12
0.0492143	1	1	1	0.00333333	7.02728e+12
0.0492143	2	2	1	0.00333333	7.02728e+12
0.0502143	1	1	1	0.00333333	7.02728e+12
0.0502143	2	2	1	0.00333333	7.02728e+12
0.0512143	1	1	1	0.00333333	7.02728e+12
0.0512143	2	2	1	0.00333333	7.02728e+12
0.0522143	1	1	1	0.00333333	7.02728e+12
0.0522143	2	2	1	0.00333333	7.02728e+12
0.0532143	1	1	1	0.00333333	7.02728e+12
0.0532143	2	2	1	0.00333333	7.02728e+12
0.0542143	1	1	1	0.00333333	7.02728e+12
0.0542143	2	2	1	0.00333333	7.02728e+12
0.0552143	1	1	1	0.00333333	7.02728e+12
0.0552143	2	2	1	0.00333333	7.02728e+12
0.0562143	1	1	1	0.00333333	7.02728e+12
0.0562143	2	2	1	0.00333333	7.02728e+12
0.0572143	1	1	1	0.00333333	7.02728e+12
0.0572143	2	2	1	0.00333333	7.02728e+12
0.0582143	1	1	1	0.00333333	7.02728e+12
0.0582143	2	2	1	0.00333333	7.02728e+12
0.0592143	1	1	1	0.00333333	7.02728e+12
0.0592143	2	2	1	0.00333333	7.02728e+12
0.0602143	1	1	1	0.00333333	7.02728e+12
0.0602143	2	2	1	0.00333333	7.02728e+12
0.0612143	1	1	1	0.00333333	7.02728e+12
0.0612143	2	2	1	0.00333333	7.02728e+12
0.0622143	1	1	1	0.00333333	7.02728e+12
0.0622143	2	2	1	0.00333333	7.02728e+12
0.0632143	1	1	1	0.00333333	7.02728e+12
0.0632143	2	2	1	0.00333333	7.02728e+12
0.0642143	1	1	1	0.00333333	7.02728e+12
0.0642143	2	2	1	0.00333333	7.02728e+12
0.0652143	1	1	1	0.00333333	7.02728e+12
0.0652143	2	2	1	0.00333333	7.02728e+12
0.0662143	1	1	1	0.00333333	7.02728e+12
0.0662143	2	2	1	0.00333333	7.02728e+12
0.0672143	1	1	1	0.00333333	7.02728e+12
0.0672143	2	2	1	0.00333333	7.02728e+12
0.0682143	1	1	1	0.00333333	7.02728e+12
