0.321	1	1	1	1.76517e+06
0.801	1	1	1	1.64215e+06
0.801	2	2	1	1.64215e+06
0.841	1	1	1	1.64215e+06
0.841	2	2	1	1.64215e+06
0.361	1	1	1	5324.57
0.361	1	1	1	1.76517e+06
0.201	1	3	1	538.885
0.202	1	1	2	538.885
0.881	1	1	1	1.64215e+06
0.881	2	2	1	1.64215e+06
0.203	1	2	3	538.885
0.921	1	1	1	1.64215e+06
0.921	2	2	1	1.64215e+06
0.401	1	1	1	5324.57
0.961	1	1	1	1.64215e+06
0.961	2	2	1	1.64215e+06
0.401	1	1	1	1.76517e+06
1.001	1	1	1	1.64215e+06
1.001	2	2	1	1.64215e+06
1.041	1	1	1	1.64215e+06
1.041	2	2	1	1.64215e+06
0.441	1	1	1	5324.57
0.081	1	1	1	3.2668
0.081	2	3	1	3.45382
0.081	3	6	1	2.30066
0.081	4	7	1	3.31787
0.081	5	10	1	3.98756
1.081	1	1	1	1.64215e+06
1.081	2	2	1	1.64215e+06
0.082	1	2	2	1.93915
0.082	2	4	2	2.01098
0.082	3	5	2	6.56383
0.082	4	8	2	3.97833
0.082	5	9	2	3.72309
0.241	1	3	1	538.885
0.441	1	1	1	1.76517e+06
0.242	1	1	2	538.885
0.243	1	2	3	538.885
0.481	1	1	1	5324.57
0.481	1	1	1	1.76517e+06
0.521	1	1	1	5324.57
0.281	1	3	1	538.885
0.521	1	1	1	1.76517e+06
0.282	1	1	2	538.885
0.283	1	2	3	538.885
0.561	1	1	1	5324.57
0.561	1	1	1	1.76517e+06
0.601	1	1	1	5324.57
0.321	1	3	1	538.885
0.601	1	1	1	1.76517e+06
0.322	1	1	2	538.885
0.323	1	2	3	538.885
0.641	1	1	1	5324.57
0.641	1	1	1	1.76517e+06
0.681	1	1	1	5324.57
0.681	1	1	1	1.76517e+06
0.361	1	3	1	538.885
0.362	1	1	2	538.885
0.363	1	2	3	538.885
0.721	1	1	1	5324.57
0.721	1	1	1	1.76517e+06
0.081	1	1	1	8764.06
0.081	2	5	1	3.42944e+06
0.081	3	8	1	3.70343e+06
0.081	4	12	1	21476.6
0.081	5	13	1	1.13379e+06
0.081	6	16	1	822495
0.082	1	2	2	44337.4
0.082	2	4	2	1.08058e+06
0.082	3	7	2	5.28724e+06
0.082	4	11	2	560993
0.082	5	14	2	5.86142e+06
0.082	6	17	2	1.31397e+07
0.761	1	1	1	5324.57
0.083	1	3	3	32073.7
0.083	2	6	3	432963
0.083	3	9	3	7.56031e+06
0.083	4	10	3	1.07051e+06
0.083	5	15	3	132902
0.083	6	18	3	624683
0.761	1	1	1	1.76517e+06
0.401	1	3	1	538.885
0.402	1	1	2	538.885
0.403	1	2	3	538.885
0.801	1	1	1	5324.57
0.801	1	1	1	1.76517e+06
