% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.05	3	16	6	1	2	6	153
0.162	1	1	17	3	1	22	1431
0.05	6	7	6	1	1	8	137
0.082	1	1	9	3	1	28	2292
0.05	6	23	6	1	2	2	41
0.162	2	2	17	3	1	22	1431
0.091	1	1	10	2	1	28	2292
0.05	6	13	6	1	3	4	69
0.163	1	1	17	4	1	22	1431
0.05	7	11	6	1	1	6	101
0.05	7	9	6	1	2	16	309
0.163	2	2	17	4	1	22	1431
0.05	7	10	6	1	3	12	201
0.083	1	1	9	4	1	28	2292
0.092	1	1	10	3	1	28	2292
0.05	8	20	6	1	1	10	501
0.164	1	1	17	5	1	22	1431
0.059	1	3	6	10	1	28	749
0.059	1	1	6	10	2	28	749
0.059	1	2	6	10	3	28	749
0.05	9	6	6	1	1	2	41
0.164	2	2	17	5	1	22	1431
0.091	1	1	10	2	1	28	2292
0.165	1	1	17	6	1	22	1431
0.084	1	1	9	5	1	28	2292
0.05	10	1	6	1	1	18	999
0.093	1	1	10	4	1	28	2292
0.093	1	1	10	4	1	28	2292
0.165	2	2	17	6	1	22	1431
0.05	11	2	6	1	1	12	621
0.035	1	1	4	6	1	6	153
0.035	1	2	4	6	2	4	105
0.05	12	3	6	1	1	28	2292
0.035	2	3	4	6	1	6	153
0.166	1	1	17	7	1	22	1431
0.035	2	4	4	6	2	4	105
0.05	13	4	6	1	1	28	2292
0.085	1	1	9	6	1	28	2292
0.166	2	2	17	7	1	22	1431
0.06	1	3	7	1	1	28	749
0.035	3	6	4	6	1	4	105
0.094	1	1	10	5	1	28	2292
0.06	1	1	7	1	2	28	749
0.035	3	5	4	6	2	8	209
0.167	1	1	17	8	1	22	1431
0.06	1	2	7	1	3	28	749
0.035	4	7	4	6	1	6	153
0.167	2	2	17	8	1	22	1431
0.035	4	8	4	6	2	6	153
0.086	1	1	9	7	1	28	2292
0.035	5	10	4	6	1	6	153
0.168	1	1	17	9	1	22	1431
0.095	1	1	10	6	1	28	2292
0.035	5	9	4	6	2	6	153
0.168	2	2	17	9	1	22	1431
0.087	1	1	9	8	1	28	2292
0.169	1	1	17	10	1	22	1431
0.096	1	1	10	7	1	28	2292
0.061	1	3	7	2	1	28	749
0.088	1	1	9	9	1	28	2292
0.032	1	1	4	3	1	0	26
0.061	1	1	7	2	2	28	749
0.169	2	2	17	10	1	22	1431
0.032	1	2	4	3	2	0	26
0.061	1	2	7	2	3	28	749
0.032	1	3	4	3	3	0	26
0.051	1	22	6	2	1	4	105
0.051	1	18	6	2	2	2	65
0.17	1	1	18	1	1	22	1431
0.032	2	5	4	3	1	0	26
0.097	1	1	10	8	1	28	2292
0.051	2	15	6	2	1	4	105
0.089	1	1	9	10	1	28	2292
0.032	2	4	4	3	2	0	26
0.101	1	1	11	2	1	28	2292
0.051	2	14	6	2	2	8	209
0.17	2	2	18	1	1	22	1431
0.032	2	6	4	3	3	0	26
0.051	3	17	6	2	1	14	389
0.171	1	1	18	2	1	22	1431
0.051	3	16	6	2	2	6	153
0.032	3	8	4	3	1	0	26
0.032	3	7	4	3	2	0	26
