% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.086	4	5	9	7	2	6	153
0.051	3	7	6	2	2	28	749
0.336	1	1	34	7	1	28	2292
0.086	6	7	9	7	1	8	137
0.051	3	9	6	2	3	28	749
0.086	6	23	9	7	2	2	41
0.086	6	13	9	7	3	4	69
0.328	1	1	33	9	1	28	2292
0.051	4	12	6	2	1	28	749
0.086	7	11	9	7	1	6	101
0.051	4	11	6	2	2	28	749
0.086	7	9	9	7	2	16	309
0.086	7	10	9	7	3	12	201
0.051	4	10	6	2	3	28	749
0.086	8	20	9	7	1	10	501
0.337	1	1	34	8	1	28	2292
0.329	1	1	33	10	1	28	2292
0.086	9	6	9	7	1	2	41
0.086	9	12	9	7	3	0	26
0.086	10	1	9	7	1	18	999
0.051	5	13	6	2	1	28	749
0.184	1	3	19	5	1	28	749
0.051	5	14	6	2	2	28	749
0.184	1	1	19	5	2	28	749
0.086	11	2	9	7	1	12	621
0.051	5	15	6	2	3	28	749
0.184	1	2	19	5	3	28	749
0.338	1	1	34	9	1	28	2292
0.086	12	3	9	7	1	28	2292
0.051	6	16	6	2	1	28	749
0.33	1	1	34	1	1	28	2292
0.051	6	17	6	2	2	28	749
0.051	6	18	6	2	3	28	749
0.086	13	4	9	7	1	28	2292
0.339	1	1	34	10	1	28	2292
0.331	1	1	34	2	1	28	2292
0.185	1	3	19	6	1	28	749
0.34	1	1	35	1	1	28	2292
0.185	1	1	19	6	2	28	749
0.185	1	2	19	6	3	28	749
0.087	1	22	9	8	1	4	105
0.087	1	18	9	8	2	2	65
0.332	1	1	34	3	1	28	2292
0.087	2	15	9	8	1	4	105
0.087	2	14	9	8	2	8	209
0.068	1	1	7	9	1	6	153
0.333	1	1	34	4	1	28	2292
0.068	1	2	7	9	2	4	105
0.341	1	1	35	2	1	28	2292
0.087	3	17	9	8	1	14	389
0.087	3	16	9	8	2	6	153
0.186	1	3	19	7	1	28	749
0.186	1	1	19	7	2	28	749
0.068	2	3	7	9	1	6	153
0.186	1	2	19	7	3	28	749
0.087	4	19	9	8	1	2	65
0.068	2	4	7	9	2	4	105
0.087	4	5	9	8	2	6	153
0.342	1	1	35	3	1	28	2292
0.334	1	1	34	5	1	28	2292
0.068	3	6	7	9	1	4	105
0.068	3	5	7	9	2	8	209
0.087	6	7	9	8	1	8	137
0.068	4	7	7	9	1	6	153
0.343	1	1	35	4	1	28	2292
0.087	6	23	9	8	2	2	41
0.068	4	8	7	9	2	6	153
0.087	6	13	9	8	3	4	69
0.068	5	10	7	9	1	6	153
0.068	5	9	7	9	2	6	153
0.335	1	1	34	6	1	28	2292
0.087	7	11	9	8	1	6	101
0.087	7	9	9	8	2	16	309
0.187	1	3	19	8	1	28	749
0.344	1	1	35	5	1	28	2292
0.087	7	10	9	8	3	12	201
0.187	1	1	19	8	2	28	749
0.187	1	2	19	8	3	28	749
0.087	8	20	9	8	1	10	501
0.087	9	6	9	8	1	2	41
0.336	1	1	34	7	1	28	2292
0.087	9	12	9	8	3	0	26
0.345	1	1	35	6	1	28	2292
0.087	10	1	9	8	1	18	999
0.087	11	2	9	8	1	12	621
0.188	1	3	19	9	1	28	749
0.188	1	1	19	9	2	28	749
0.337	1	1	34	8	1	28	2292
0.087	12	3	9	8	1	28	2292
0.188	1	2	19	9	3	28	749
0.346	1	1	35	7	1	28	2292
0.087	13	4	9	8	1	28	2292
0.815	1	1	82	6	1	28	2292
0.815	2	2	82	6	1	28	2292
0.338	1	1	34	9	1	28	2292
0.347	1	1	35	8	1	28	2292
0.052	1	1	6	3	1	28	749
0.052	1	2	6	3	2	28	749
0.052	1	3	6	3	3	28	749
0.189	1	3	19	10	1	28	749
0.189	1	1	19	10	2	28	749
0.189	1	2	19	10	3	28	749
0.052	2	5	6	3	1	28	749
0.052	2	4	6	3	2	28	749
0.052	2	6	6	3	3	28	749
0.339	1	1	34	10	1	28	2292
0.348	1	1	35	9	1	28	2292
0.052	3	8	6	3	1	28	749
0.052	3	7	6	3	2	28	749
0.052	3	9	6	3	3	28	749
0.052	4	12	6	3	1	28	749
0.052	4	11	6	3	2	28	749
0.052	4	10	6	3	3	28	749
0.349	1	1	35	10	1	28	2292
0.34	1	1	35	1	1	28	2292
0.069	3	6	7	10	1	4	105
0.088	3	17	9	9	1	14	389
0.069	3	5	7	10	2	8	209
0.088	3	16	9	9	2	6	153
0.088	4	5	9	9	2	6	153
0.069	4	7	7	10	1	6	153
0.069	4	8	7	10	2	6	153
0.351	1	1	36	2	1	28	2292
0.088	6	7	9	9	1	6	101
0.191	1	3	20	2	1	28	749
0.342	1	1	35	3	1	28	2292
0.088	6	23	9	9	2	2	41
0.191	1	1	20	2	2	28	749
0.069	5	10	7	10	1	6	153
0.088	6	13	9	9	3	4	69
0.191	1	2	20	2	3	28	749
0.069	5	9	7	10	2	6	153
0.088	7	11	9	9	1	6	101
0.088	7	9	9	9	2	16	309
0.088	7	10	9	9	3	12	201
0.352	1	1	36	3	1	28	2292
0.088	8	20	9	9	1	8	437
0.343	1	1	35	4	1	28	2292
0.088	9	6	9	9	1	2	41
0.088	9	12	9	9	3	0	26
0.353	1	1	36	4	1	28	2292
0.088	10	1	9	9	1	18	999
0.192	1	3	20	3	1	28	749
0.088	11	2	9	9	1	10	501
0.192	1	1	20	3	2	28	749
0.192	1	2	20	3	3	28	749
0.344	1	1	35	5	1	28	2292
0.088	12	3	9	9	1	28	2292
0.354	1	1	36	5	1	28	2292
0.088	13	4	9	9	1	28	2292
0.345	1	1	35	6	1	28	2292
0.355	1	1	36	6	1	28	2292
0.193	1	3	20	4	1	28	749
0.193	1	1	20	4	2	28	749
0.193	1	2	20	4	3	28	749
0.346	1	1	35	7	1	28	2292
0.356	1	1	36	7	1	28	2292
0.347	1	1	35	8	1	28	2292
0.357	1	1	36	8	1	28	2292
0.07	1	1	8	1	1	6	153
0.07	1	2	8	1	2	4	105
0.089	1	22	9	10	1	4	105
0.194	1	3	20	5	1	28	749
0.089	1	18	9	10	2	2	65
0.194	1	1	20	5	2	28	749
0.194	1	2	20	5	3	28	749
0.07	2	3	8	1	1	6	153
0.348	1	1	35	9	1	28	2292
0.089	2	15	9	10	1	4	105
0.07	2	4	8	1	2	4	105
0.089	2	14	9	10	2	8	209
0.358	1	1	36	9	1	28	2292
0.089	3	17	9	10	1	14	389
0.07	3	6	8	1	1	4	105
0.089	3	16	9	10	2	6	153
0.07	3	5	8	1	2	8	209
0.089	4	5	9	10	2	6	153
0.349	1	1	35	10	1	28	2292
0.07	4	7	8	1	1	6	153
0.359	1	1	36	10	1	28	2292
0.07	4	8	8	1	2	6	153
0.089	6	7	9	10	1	6	101
0.089	6	23	9	10	2	2	41
0.089	6	13	9	10	3	4	69
0.07	5	10	8	1	1	6	153
0.07	5	9	8	1	2	6	153
0.195	1	3	20	6	1	28	749
0.089	7	11	9	10	1	6	101
0.195	1	1	20	6	2	28	749
0.089	7	9	9	10	2	16	309
0.195	1	2	20	6	3	28	749
0.089	7	10	9	10	3	12	201
0.053	1	1	6	4	1	28	749
0.35	1	1	36	1	1	28	2292
0.053	1	2	6	4	2	28	749
0.053	1	3	6	4	3	28	749
0.36	1	1	37	1	1	28	2292
0.089	8	20	9	10	1	8	437
0.053	2	5	6	4	1	28	749
0.089	9	6	9	10	1	2	41
0.053	2	4	6	4	2	28	749
0.089	9	12	9	10	3	0	26
0.053	2	6	6	4	3	28	749
0.351	1	1	36	2	1	28	2292
0.089	10	1	9	10	1	18	999
0.053	3	8	6	4	1	28	749
0.053	3	7	6	4	2	28	749
0.053	3	9	6	4	3	28	749
0.089	11	2	9	10	1	10	501
0.361	1	1	37	2	1	28	2292
0.089	12	3	9	10	1	28	2292
0.053	4	12	6	4	1	28	749
0.053	4	11	6	4	2	28	749
0.196	1	3	20	7	1	28	749
0.053	4	10	6	4	3	28	749
0.196	1	1	20	7	2	28	749
0.089	13	4	9	10	1	28	2292
0.352	1	1	36	3	1	28	2292
0.196	1	2	20	7	3	28	749
0.362	1	1	37	3	1	28	2292
0.053	5	13	6	4	1	28	749
0.053	5	14	6	4	2	28	749
0.053	5	15	6	4	3	28	749
0.353	1	1	36	4	1	28	2292
0.053	6	16	6	4	1	28	749
0.053	6	17	6	4	2	28	749
0.053	6	18	6	4	3	28	749
0.363	1	1	37	4	1	28	2292
0.197	1	3	20	8	1	28	749
0.354	1	1	36	5	1	28	2292
0.197	1	1	20	8	2	28	749
0.197	1	2	20	8	3	28	749
0.364	1	1	37	5	1	28	2292
0.355	1	1	36	6	1	28	2292
0.071	1	1	8	2	1	6	153
0.071	1	2	8	2	2	4	105
0.365	1	1	37	6	1	28	2292
0.356	1	1	36	7	1	28	2292
0.071	2	3	8	2	1	6	153
0.198	1	3	20	9	1	28	749
0.071	2	4	8	2	2	4	105
0.198	1	1	20	9	2	28	749
0.198	1	2	20	9	3	28	749
0.071	3	6	8	2	1	4	105
0.366	1	1	37	7	1	28	2292
0.071	3	5	8	2	2	8	209
0.357	1	1	36	8	1	28	2292
0.071	4	7	8	2	1	6	153
0.071	4	8	8	2	2	6	153
0.367	1	1	37	8	1	28	2292
0.071	5	10	8	2	1	6	153
0.071	5	9	8	2	2	6	153
0.199	1	3	20	10	1	28	749
0.358	1	1	36	9	1	28	2292
0.199	1	1	20	10	2	28	749
0.199	1	2	20	10	3	28	749
0.09	1	22	10	1	1	4	105
0.368	1	1	37	9	1	28	2292
0.09	1	18	10	1	2	0	41
0.09	2	15	10	1	1	4	105
0.09	2	14	10	1	2	8	209
0.359	1	1	36	10	1	28	2292
0.09	3	17	10	1	1	14	389
0.09	3	16	10	1	2	6	153
0.369	1	1	37	10	1	28	2292
0.09	4	5	10	1	2	6	153
0.2	1	3	21	1	1	28	749
0.09	6	13	10	1	3	24	533
0.36	1	1	37	1	1	28	2292
0.2	1	1	21	1	2	28	749
0.09	6	7	10	1	1	6	101
0.2	1	2	21	1	3	28	749
0.09	6	23	10	1	2	2	41
0.37	1	1	38	1	1	28	2292
0.09	7	11	10	1	1	6	101
0.09	7	9	10	1	2	16	309
0.09	7	10	10	1	3	6	101
0.371	1	1	38	2	1	28	2292
0.09	8	20	10	1	1	8	437
0.361	1	1	37	2	1	28	2292
0.09	9	6	10	1	1	2	41
0.09	10	1	10	1	1	18	999
0.201	1	3	21	2	1	28	749
0.09	11	2	10	1	1	10	501
0.201	1	1	21	2	2	28	749
0.201	1	2	21	2	3	28	749
0.372	1	1	38	3	1	28	2292
0.09	12	3	10	1	1	28	2292
